Ühend;Lause_ID;Leitud ühendikandidaat;Komponendi seos;Komponendi kääne;Passiiv;Reegel;Lause tekst;Noomeni token;Verbi token
töö:Par tegema;aja_ee199920_781;tegema tööd;obj;Par;ei;obj;Vene tüdrukud ei pea käima vene keele tunnis, küll aga peavad nad kaasa tegema suuremad kirjalikud tööd.;18;15
mure:Par tundma;aja_ee199920_795;muret tunne;obj;Par;ei;obj;Eestlaste-venelaste suhete tuleviku pärast tüdrukud muret ei tunne.;6;8
asi:Par ajama;aja_ee199920_80;asju ajamas;obj;Par;ei;obj;Mõni tund hiljem nähti teda Tartus veel asju ajamas.;8;9
asi:Par ajama;aja_ee199920_851;asju ajada;obj;Par;ei;obj;Riigiasutustes asju ajada on kohutav.;2;3
koopia:obj tegema;aja_ee199920_910;teha koopia;obj;Nom;ei;obj;""" Seda filmi ei ole võimalik ka välismaale müüa, kuna siis tuleb teha korralik ingliskeelne koopia ehk läheks vaja veel sada tuhat krooni.";17;14
töö:Par tegema;aja_ee199920_921;tööd teha;obj;Par;ei;obj;"Olin produtsent olude sunnil, sest keegi teine ei tahtnud seda tööd teha, "" ütles ta.";12;13
käik:Par tegema;aja_ee199920_994;tegi käigu;obj;Gen;ei;obj;Lembit Oll tegi oma viimase käigu ööhämaruse varjus.;6;3
au_hind:obj andma;aja_ee200110_1006;auhinna andma;obj;Gen;ei;obj;"Tolk: "" Peame auhinna enne kätte andma, kui päris rõvedaks läheb.";5;8
au_hind:obj andma;aja_ee200110_1030;anda auhind;obj;Nom;ei;obj;"Võtab taskust pajalapil metallpulga, teatab pidulikult: ""Lubage üle anda"" Esto-TV ""loomingulise põlemise auhind!"", haarab välgumihkli ja süütab Kuke rüü: ""Vaatame, kas põlete ka päriselt!""";18;12
valik:obj tegema;aja_ee200110_1101;teevad valiku;obj;Gen;ei;obj;Kord aastas vaatavad kollektsionäärid üle suuremate iludusvõistluste videod ja teevad oma valiku.;12;10
piinlikkus:Par tundma;aja_ee200110_1218;piinlikkust tundma;obj;Par;ei;obj;Parki ema oli rätsep, kelle õmmeldud koolijakid panid poisi piinlikkust tundma.;11;12
tunnistus:Par andma;aja_ee200110_1235;andsid tunnistust;obj;Par;ei;obj;Kuid mõlemad filmid andsid tunnistust tema riukalikust, fantastilisest andest.;5;4
liigutus:Par tegema;aja_ee200110_127;tegi liigutuse;obj;Gen;ei;obj;"""Sähke teile, põhulõuad!"" kõlas uus kraaksatus ja meie olümpiadelegatsiooni arstina teenindav Savi tegi liigutuse, nagu viskaks lehmadele heina ette.";18;17
garantii:obj andma;aja_ee200110_1318;annab garantii;obj;Gen;ei;obj;""" Originaaltootja annab ravimile garantii, jälgib iga päev ravimi kõrvaltoimeid ning on vajaduse korral valmis ravimi turult kohe ära korjama.";5;3
võimalus:obj andma;aja_ee200110_1326;annab võimaluse;obj;Gen;ei;obj;Referentshinna kehtestamine annab võimaluse kompenseerida uusi originaalravimeid, millele asendajat ei ole.;4;3
koos_töö:Par tegema;aja_ee200110_1342;teevad koostööd;obj;Par;ei;obj;Kui Magnum tekitab olukorra, kus paljud apteegid teevad koostööd ainult nendega, siis peab sama tegema ka Tamro.;10;9
ette_panek:obj tegema;aja_ee200110_1347;teinud ettepaneku;obj;Gen;ei;obj;Hulgi- ja jaemüüjad on teinud sotsiaalministrile ettepaneku tõsta neid protsente, mida hulgimüüjad ja apteegid saavad lisada alghinnale.;7;5
asi:Par ajama;aja_ee200110_1391;ajas asju;obj;Par;ei;obj;Üks mees sai märkuse kirja, aga jutustas tööajast rahulikult edasi, ajas omi asju.;15;13
vallatus:Par tegema;aja_ee200110_1517;vallatusi teha;obj;Par;ei;obj;Ja kui raha jagub, võib ka pisut vallatusi teha.;9;10
töö:Par tegema;aja_ee200110_1576;tegi tööd;obj;Par;ei;obj;Ilmselt tegi vedrustus lihtsalt oma tööd.;6;2
äri:Par ajama;aja_ee200110_1645;äri ajada;obj;Par;ei;obj;Täna Ukrainas äri ajada nõuab mehist meelt ja püstolit põues.;3;4
suits:Par tegema;aja_ee200110_1715;teeb suitsu;obj;Par;ei;obj;Juht teeb närviliselt suitsu.;4;2
valik:obj tegema;aja_ee200110_1827;valiku teinud;obj;Gen;ei;obj;Stepan Bandera juunior on oma valiku teinud.;6;7
dieet:Par pidama;aja_ee200110_1901;dieeti peetakse;obj;Par;jah;obj;"Napid toiduratsioonid ja füüsilise koormuse suurenemine tähendas seda, et enamik naisi olid füüsiliselt paremas vormis kui kunagi enne; sõja poolt määratud dieeti peetakse tänapäevani ideaalilähedaseks.";24;25
võimalus:obj andma;aja_ee200110_1949;anta võimalusi;obj;Par;jah;obj;Aga kas pole seegi vägivald naise kallal, kui talle ei anta võimalusi oma võlusid demonstreerida?;13;12
rõõm:Par tundma;aja_ee200110_203;rõõmu tunda;obj;Par;ei;obj;Tegelikult on aga põhjust uuest olukorrast rõõmu tunda.;7;8
töö:Par tegema;aja_ee200110_2032;tööd teha;obj;Par;ei;obj;Katsu siis niimoodi tööd teha.;4;5
jutt:Par ajama;aja_ee200110_2055;ajab juttu;obj;Par;ei;obj;"Ta ajab nendega juttu, korduvateks sõnadeks on ""ilu"", ""igaühele oma"" ja ""minu-minu"".";4;2
pahandus:Par tegema;aja_ee200110_2103;pahandust tegi;obj;Par;ei;obj;"Aga öelge, mis pahandust tegi hiljuti meie peaminister Mart Laar? """;5;6
remont:Par tegema;aja_ee200110_2105;tegi remonti;obj;Par;ei;obj;"Diivanil pikutav Linda ajab pea püsti ja teatab ahastava häälega: ""Ta tegi remonti.""";15;14
remont:Par tegema;aja_ee200110_2107;Tegi remonti;obj;Par;ei;obj;Tegi küll remonti, sellest me lugesime ka.;3;1
vastus:Par andma;aja_ee200110_2123;vastuse anda;obj;Gen;ei;obj;Võtab umbes veerand tundi, enne kui ta vastuse saab anda.;9;11
ette_panek:obj tegema;aja_ee200110_2247;tegi ettepanekuid;obj;Par;ei;obj;Makarov tegi teisigi huvitavaid ettepanekuid.;5;2
koos_töö:Par tegema;aja_ee200110_2273;tehti koostööd;obj;Par;jah;obj;Viimased kuud tehti Makaroviga koostööd näpuga lepingus järge ajades.;5;3
koos_töö:Par tegema;aja_ee200110_2277;koostööd tegema;obj;Par;ei;obj;Paar nädalat hiljem kirjutati juba ka sellest, et Jüri Makarovi asemel hakkab uus loodav koht koostööd tegema Lauri Laubre tiimiga.;17;18
nõus_olek:obj andma;aja_ee200110_2357;andnud nõusoleku;obj;Gen;ei;obj;"HILJEM KüSISIN üHELT ""KEHA-ANNETAJALT"" - üle keskea mees, kes on andnud nõusoleku oma keha surmajärgseks eksponeerimiseks ning oli valmis vastama kõikidele asjasse puutuvatele küsimustele -, miks on naisekeha sellel näitusel kuuekordses vähemuses, võrreldes mehe kehaga.";15;14
nõus_olek:obj andma;aja_ee200110_2362;andsid nõusoleku;obj;Gen;ei;obj;Tegin näitusesaalile kolm tiiru peale, jõudes lõpuks vältimatu küsimuseni, miks need inimesed andsid nõusoleku oma keha väljapanemiseks.;16;15
nõus_olek:obj andma;aja_ee200110_2372;andsin nõusoleku;obj;Gen;ei;obj;"""Pärast seda, kui ma andsin nõusoleku plastinatsiooniks, ei tekita surmamõte minus enam ängi,"" teatab keegi rõõmsameelne anonymus.";8;7
hääl:Par tegema;aja_ee200110_2391;tegi häält;obj;Par;ei;obj;Enne kontserti Poola pealinnas tegi aga häält Varssavi linnapea Antoni Pietkiewicz.;7;5
võimalus:obj andma;aja_ee200110_2786;annab võimalusi;obj;Par;ei;obj;ATSi algaine annab lõputult võimalusi.;5;3
laul:Par laskma;aja_ee200110_2873;lauludki laseme;obj;Nom;ei;obj;"Ja verd nõrgub ka värssidest ""Vanikud punume kallile / armsa Stalini pildile / lauludki laseme kõlada / suurele juhile, sõbrale"" (puudub valimikus).";15;16
intervjuu:obj andma;aja_ee200110_2924;annab intervjuud;obj;Par;ei;obj;Olin küll näinud, kuidas Ken & Tolk vahetavad moekunstnik Judashkiniga lipse või kuidas Marica Lillemets annab intervjuud Läti moeajakirjanikule ehk Kenile (tõlgiks Tolk), kuid viimane saade jättis kõik varju.;18;17
korrektiiv:Par tegema;aja_ee200110_2997;korrektiive teeb;obj;Par;ei;obj;"Sest siis saabub techno-nui (""Dreamfever""), mis eelkirjutatusse korrektiive teeb.";13;14
mure:Par tundma;aja_ee200110_3015;muret tunda;obj;Par;ei;obj;"Nukrameelse lüüriku loomevõime suhtes muret tunda ei tule - inspiratsiooni on üle jäänud ka kahe imehea originaalloo jagu; nagu ikka, on need sügavamad ja tundelisemad kui Kozeleki iroonilised töötlused võõrast muusikast.";5;6
võimalus:obj andma;aja_ee200110_3125;annab võimaluse;obj;Gen;ei;obj;Samas pakub stuudios nikerdamine rohkesti katsetamisvõimalusi ja annab muidu elitaarseks peetava muusika loojale võimaluse elada end välja stiilides, mis kontserdisaalis ei kõla.;14;8
valik:obj tegema;aja_ee200110_3131;tehtud valik;obj;Nom;jah;obj;Sumera paljude ise enda eest kostvate filmitööde seast on plaadi jaoks tehtud hea valik.;14;12
käsi_töö:Par tegema;aja_ee200110_3239;tegin käsitööd;obj;Par;ei;obj;Lapsena ma olin selline nahistaja, tegin käsitööd - just tikkisin.;8;7
töö:Par tegema;aja_ee200110_3259;tööd teinud;obj;Par;ei;obj;Ajakirjastilisti tööd oled ka teinud?;2;5
rõõm:Par tundma;aja_ee200110_3275;tunnen rõõmu;obj;Par;ei;obj;Ja tunnen rõõmu.;3;2
huvi:Par tundma;aja_ee200110_35;tuntakse huvi;obj;Par;jah;obj;Vastus tuli Belgiast, kust teatati, et sinjoor Sposato vastu tuntakse huvi ühe autotehinguga seotud kelmuseloo tõttu, kuid mees pole tagaotsitav.;13;12
all_kiri:obj andma;aja_ee200110_364;andnud allkirja;obj;Gen;ei;obj;"Olen andnud Eesti Spordimeditsiini Föderatsiooni presidendile Rein Jalakule allkirja, et olen täie mõistuse juures, ja et ma võtan endale vastutuse igasuguste tagajärgede suhtes, ja et ma soovin viia enda peal läbi eksperimendi dopingu (salbutamol) ""toime tundmaõppimiseks jooksukoormuse mõjul"".";9;2
all_kiri:obj andma;aja_ee200110_378;allkirja andma;obj;Par;ei;obj;Viimane pingutav etteaste keskmaadistantsil pärineb juulikuust, kui ma jooksin kesklinna kõrvetavas lõõsas Narva maanteelt Mere puiesteele notarile mingit allkirja andma.;20;21
massaaž:Par tegema;aja_ee200110_454;teha massaazhi;obj;Par;ei;obj;Kujutage ette, et kaheksa aasta pärast öeldakse, et sportlasele ei tohi teha massaazhi.;15;14
plaan:obj pidama;aja_ee200110_487;pidas plaani;obj;Par;ei;obj;Mees pidas plaani osta endale kobedam eluase.;3;2
vastus:Par andma;aja_ee200110_527;annab vastuseid;obj;Par;ei;obj;See annab lihtsaid vastuseid.;4;2
plaan:obj pidama;aja_ee200110_559;pidada plaane;obj;Par;ei;obj;Kuid mitte uneski poleks naine näinud, et suurem osa Soomes elatud aega tuleb pidada plaane, kuidas ära põgeneda.;16;15
asi:Par ajama;aja_ee200110_594;asja ajab;obj;Par;ei;obj;Mehe asja ajab advokaat Timo Rajamäki, kelle sõnul on praegu küsimuse all lapse heaolu.;2;3
huvi:Par tundma;aja_ee200110_618;huvi tundnud;obj;Par;ei;obj;Mees ise pole lapsega kohtumise vastu huvi tundnud.;7;8
ind:Par andma;aja_ee200110_692;indu andnud;obj;Par;ei;obj;Päitsete panek pole kellelegi indu juurde andnud.;5;7
leping:obj tegema;aja_ee200110_748;leping tehti;obj;Nom;jah;obj;Kelle huvides säärane leping tehti ja kas tõesti oli teatridirektoril õigus keldriruumid pea sajandiks välja üürida?;4;5
remont:Par tegema;aja_ee200110_754;teha remondi;obj;Gen;ei;obj;Selle asemel lubas Fookus teha teatrisaali ja lava remondi ja pakkuda näitlejatele tasuta lõunaid.;9;5
läbi_rääkimine:Par pidama;aja_ee200110_768;läbirääkimisi pidasid;obj;Par;ei;obj;Scandic Hotels Eesti ASi finantsdirektor Andres Lepik väidab samuti, et läbirääkimisi pidasid nad Monte-Carloga, mitte teatriga.;12;13
nõu:Par andma;aja_ee200110_798;anname nõu;obj;Par;ei;obj;"""Me anname vaid nõu.""";5;3
võimalus:obj andma;aja_ee200110_897;andis võimaluse;obj;Gen;ei;obj;1994. aastal andis Shoemaker-Levy nimeline komeet võimaluse ohutust kaugusest jälgida, kuidas üks taevakeha planeedile kukub.;7;3
au_hind:obj andma;aja_ee200110_948;Anname auhinnad;obj;Nom;ei;obj;""" Anname välja "" Esto-TV "" oma auhinnad!";8;2
au_hind:obj andma;aja_ee200110_951;Anname auhinna;obj;Gen;ei;obj;"Tolk naeratab laialt nagu B-filmi fashist enne juudi ahju saatmist: ""Anname välja loomingulise põlemise auhinna, siis aaria rassi auhinna tõupuhtuse eest, siis veel ee-eee ... geisensibiilsuse auhinna, siis viljakuse auhinna, siis ...""";17;13
au_hind:obj andma;aja_ee200110_951;Anname auhinna;conj;Gen;ei;conj->obj;"Tolk naeratab laialt nagu B-filmi fashist enne juudi ahju saatmist: ""Anname välja loomingulise põlemise auhinna, siis aaria rassi auhinna tõupuhtuse eest, siis veel ee-eee ... geisensibiilsuse auhinna, siis viljakuse auhinna, siis ...""";22;13
au_hind:obj andma;aja_ee200110_951;Anname auhinna;conj;Gen;ei;conj->obj;"Tolk naeratab laialt nagu B-filmi fashist enne juudi ahju saatmist: ""Anname välja loomingulise põlemise auhinna, siis aaria rassi auhinna tõupuhtuse eest, siis veel ee-eee ... geisensibiilsuse auhinna, siis viljakuse auhinna, siis ...""";31;13
au_hind:obj andma;aja_ee200110_951;Anname auhinna;conj;Gen;ei;conj->obj;"Tolk naeratab laialt nagu B-filmi fashist enne juudi ahju saatmist: ""Anname välja loomingulise põlemise auhinna, siis aaria rassi auhinna tõupuhtuse eest, siis veel ee-eee ... geisensibiilsuse auhinna, siis viljakuse auhinna, siis ...""";35;13
ette_panek:obj tegema;aja_ee200110_977;teeb ettepaneku;obj;Gen;ei;obj;Ken teeb ettepaneku alla minna.;3;2
viha:Par pidama;aja_ee200110_989;viha pea;obj;Par;ei;obj;Marica tunnistab, et ta tõmmati haneks, aga viha ei pea - ikkagi pullitegemine.;10;12
plaan:obj pidama;aja_ee200110_997;peab plaani;obj;Par;ei;obj;Ken peab plaani.;3;2
plaan:obj pidama;aja_ee200110_998;peab plaani;obj;Par;ei;obj;Tolk peab plaani.;3;2
plaan:obj pidama;aja_ee200110_999;peab plaani;obj;Par;ei;obj;Rezhissöör Andres Maimik peab plaani.;5;4
uhkus:Par tundma;aja_epl20061216_130;tundma uhkust;obj;Par;ei;obj;Ilves ütles, et suurde Euroopasse kuuludes peame tundma rohkem uhkust selle üle, kust oleme pärit.;11;9
sisse_ost:Par tegema;aja_epl20061216_14;sisseoste teha;obj;Par;ei;obj;"Kanal 2 ""Reporteri"" (6.12) saatejuht püüdis mõnes Tallinna kaupluses eesti keelt kasutades sisseoste teha, aga sellest ei tulnud midagi välja.";17;18
luba:obj andma;aja_epl20061216_175;andma loa;obj;Gen;ei;obj;Kaitsealale suusaraja tegemiseks oleks pidanud andma loa valitsus.;7;6
luba:obj andma;aja_epl20061216_181;luba anti;obj;Nom;jah;obj;Seda, kuidas sihtkaitsevööndisse suusakeskuse rajamiseks üldse luba anti, ei oska Tuul arvata.;8;9
luba:obj andma;aja_epl20061216_182;andis loa;obj;Gen;ei;obj;Metsaraieks andis loa Valgamaa keskkonnateenistus, mille juhataja Johannes Järve sõnul lähtuti Otepää looduspargi poolt heaks kiidetud detailplaneeringust, mille kohaselt oli Tehvandi suusaraja rajamiseks õigus raieluba välja anda.;3;2
kuri_tegu:obj toime panema;aja_epl20061216_193;toime pannud kuriteo;obj | compound:idiom;Gen | Add;ei;obj;Kodakondsuse seaduse järgi ei võimalda eriliste teenete eest kodakondust anda näiteks see, kui inimene on esitanud valeandmeid, ei järgi Eesti seadusi, on tegutsenud Eesti riigi ja tema julgeoleku vastu, on toime pannud kuriteo või on töötanud või töötab välisriigi luure- või julgeolekuteenistuses.;37;36
mure:Par tegema;aja_epl20061216_2;teeb muret;obj;Par;ei;obj;Juba praegu teeb tuleviku elanikkonna ennustatav kõrge-ealisus pensioni- ja haigekassadele muret.;11;3
ette_panek:obj tegema;aja_epl20061216_290;teha ettepaneku;obj;Gen;ei;obj;Saaremaa liha- ja piimaühistu juhatus ja nõukogu otsustasid ühiselt teha ühistu volinike koosolekule ettepaneku müüa Saaremaa Liha- ja Piimatööstuse lihatööstus ettevõtja Vjatšeslav Leedo AS-ile Saare Finants.;14;10
mure:Par tegema;aja_epl20061216_299;teeb muret;obj;Par;ei;obj;Poepidajale teeb muret see, et parklasse mahub vaid neli autot.;3;2
võimalus:obj andma;aja_epl20061216_495;annavad võimaluse;obj;Gen;ei;obj;Keeleuurijatele seevastu annavad needsamad kirjandid tänuväärse võimaluse kiigata tulevikku: missugune võiks eesti keel olla aastakümnete ja õnne korral sajanditegi pärast?;7;3
jaht:Par pidama;aja_epl20061216_515;jahti pidada;obj;Par;ei;obj;USA Texase osariigi esindajatekoja liige Edmund Kuempel on algatanud seadusmuudatuse, mis lubaks ka pimedatel inimestel jahti pidada.;17;18
kokku_võte:obj tegema;aja_epl20061216_582;tegid kokkuvõtte;obj;Gen;ei;obj;Möödunud reedel tegid asjaosalised kaevamise tulemustest kokkuvõtte.;7;3
luba:obj andma;aja_epl20070812_15;anda loa;obj;Gen;ei;obj;Ilmsiks tulnud käsk põgenikke tulistada on selge tõestus selle kohta, et Ida-Saksamaa kommunistlik režiim võis anda vajadusel loa inimene tappa, rääkis Stas-i dokumente haldava organisatsiooni direktor BBC-le.;19;17
töö:Par tegema;aja_epl20070812_62;tegi tööd;obj;Par;ei;obj;"""Kolonel Terras seisis silmitsi tõsiste raskustega treeningmissiooni elutegevuse tagamisel, aga tegi oma tööd erakordse professionaalsuse ja pühendumusega,"" ütles NATO treeningmissiooni Iraagis ülema asetäitja kindralmajor Alessandro Pompegiani.";15;13
abi:Par andma;aja_horisont2000_1157;abi anda;obj;Par;ei;obj;Ühegi teise võttega ei saa sügavalt norskajale seesugust abi anda.;9;10
abi:Par andma;aja_horisont2000_1181;antakse abi;obj;Par;jah;obj;Selle kõrvaldamiseks antakse kompleksset abi Tartu Ülikooli kõrva- ja kurgukliinikus.;5;3
sõda:Par pidama;aja_horisont2000_119;sõdu peetud;obj;Par;jah;obj;Tegelikkuses on suuri sõdu peetud ka teistel aastakümnetel.;4;5
võimalus:obj andma;aja_horisont2000_1191;andis võimaluse;obj;Gen;ei;obj;Loomulikult andis kindlustatud värav sõjasadama valdajale võimaluse kontrollida ka igat lahte sisenevat alust.;7;2
algus:Par tegema;aja_horisont2000_1196;tegid algust;obj;Par;ei;obj;Tööga tegid algust küll tsaariarmee soldatid, ent peagi jätkasid sunnitöölised, kes pankrannikust lahtimurtud paekividega mere pidid täitma.;3;2
huvi:Par tundma;aja_horisont2000_1265;tunnevad huvi;obj;Par;ei;obj;Siis olengi mõelnud, et vaatamata sellele, kas inimesed tunnevad huvi autode või aeroplaanide, maksusüsteemi või teoloogia vastu, on nad avaliku elu või allmaategelased, mungad või sübariidid, jagavad nad enamasti huvi inimkeha vastu.;12;11
sõda:Par pidama;aja_horisont2000_137;sõdu peetud;obj;Par;jah;obj;On ju suuri sõdu peetud ka teistel aastakümnetel.;4;5
hoop:obj andma;aja_horisont2000_1465;anda hoop;obj;Nom;ei;obj;Vahepeal üritas üks, siis teine anda peaga vastasele hoop, nood aga ei tundunud olevat küll kuigi tõsised.;10;7
ette_panek:obj tegema;aja_horisont2000_176;tegi ettepaneku;obj;Gen;ei;obj;1889 tegi Bismarck Briti peaministrile Robert Arthur Talbot Gascoyne-Cecil Salisburyle ettepaneku sõlmida ametlik, kuigi salajane, liiduleping Prantsusmaa vastu.;11;2
ette_panek:obj tegema;aja_horisont2000_214;tegi ettepanekuid;obj;Par;ei;obj;Aafrikas tehtud järeleandmistele lootes tegi Caprivi oma kantsleriks oleku ajal (1890-1894) Briti diplomaatidele korduvalt ettepanekuid ühinemiseks Kolmikliiduga, kuid said ikka eitava vastuse.;17;5
kõne:obj pidama;aja_horisont2000_224;pidas kõne;obj;Gen;ei;obj;Teel peatus ta Konstantinoopolis ja pidas Damaskuses kõne, milles kuulutas end 300 miljoni muhameedlase ja Türgi sultani sõbraks.;8;6
töö:Par tegema;aja_horisont2000_278;tööd teha;obj;Par;ei;obj;· Nautis Aarau kantonikoolis (kus ta sooritas abituuriumi) valitsenud Pestalozzi vaba ja humaanset vaimu, eelkõige õpetaja vabadust õpetamismeetodite valikul ja sellest tulenevat rõõmu õpetajaga ühist tööd teha.;29;30
